section,cohort,external_cohort,label_key,diagnosis,headline,finding_class,feature,orientation,metric,value,lower_95,upper_95
model_comparison,,ningbo,427084000,sinus tachycardia,True,geometric,,,xresnet1d101_shift_delta,-0.0070472706240581,-0.0107499426997043,-0.0016369648667439
model_comparison,,ningbo,164934002,t wave abnormal,True,interpretive,,,feature_model_shift_delta,-0.06601216910424168,,
model_comparison,,ningbo,164934002,t wave abnormal,True,interpretive,,,xresnet1d101_shift_delta,-0.1482972955436275,-0.1671539000364894,-0.1272711783403035
model_comparison,,ningbo,59931005,t wave inversion,True,interpretive,,,feature_model_shift_delta,-0.04670764361709112,,
model_comparison,,ningbo,59931005,t wave inversion,True,interpretive,,,xresnet1d101_shift_delta,-0.0937862126121327,-0.1117885333773184,-0.073990195137316
rank_correlation,,ningbo,,,,,,,spearman_rho,0.5164835164835164,,
rank_correlation,,ningbo,,,,,,,p_value,0.07074904067496371,,
finding_class_summary,,ningbo,,,,geometric,,,feature_model_mean_shift_delta,-0.007918157563284465,,
finding_class_summary,,ningbo,,,,geometric,,,xresnet1d101_mean_shift_delta,-0.0030495984788743856,,
finding_class_summary,,ningbo,,,,interpretive,,,feature_model_mean_shift_delta,-0.08946682751980156,,
finding_class_summary,,ningbo,,,,interpretive,,,xresnet1d101_mean_shift_delta,-0.1482512356304698,,
finding_class_summary,,ningbo,,,,unclassified,,,feature_model_mean_shift_delta,0.0329017920005949,,
finding_class_summary,,ningbo,,,,unclassified,,,xresnet1d101_mean_shift_delta,-0.019500442805361298,,
