cohort,architecture,calibration,label_key,bin,lower,upper,count,mean_probability,observed_frequency
ptb_test,xresnet1d101,calibrated,pooled,14,0.8666666666666667,0.9333333333333333,383,0.904552847069175,0.8929503916449086
ptb_test,xresnet1d101,calibrated,pooled,15,0.9333333333333333,1.0,1633,0.9777837444578149,0.971830985915493
ptb_test,xresnet1d101,calibrated,733534002|164909002,1,0.0,0.06666666666666667,2127,0.0004426371471487068,0.0009402914903620122
ptb_test,xresnet1d101,calibrated,733534002|164909002,2,0.06666666666666667,0.13333333333333333,6,0.0851539857685566,0.16666666666666666
ptb_test,xresnet1d101,calibrated,733534002|164909002,3,0.13333333333333333,0.2,4,0.17026221007108688,0.0
ptb_test,xresnet1d101,calibrated,733534002|164909002,4,0.2,0.26666666666666666,0,,
ptb_test,xresnet1d101,calibrated,733534002|164909002,5,0.26666666666666666,0.3333333333333333,1,0.2934044301509857,1.0
ptb_test,xresnet1d101,calibrated,733534002|164909002,6,0.3333333333333333,0.4,5,0.36659690737724304,0.4
ptb_test,xresnet1d101,calibrated,733534002|164909002,7,0.4,0.4666666666666667,3,0.41090965270996094,1.0
ptb_test,xresnet1d101,calibrated,733534002|164909002,8,0.4666666666666667,0.5333333333333333,4,0.4927186146378517,0.5
ptb_test,xresnet1d101,calibrated,733534002|164909002,9,0.5333333333333333,0.6,1,0.5701290965080261,1.0
